Institution Name,DT,ID_RSSD,Total Exposures,Intra-Financial System Assets,Intra-Financial System Liabilities,Securities Outstanding,Payments,Assets Under Custody,Underwriting,OTC Derivatives,Trading and AFS Securities,Level 3 Assets,Cross-Jurisdictional Claims,Cross-Jurisdictional Liabilities,Qtr_Year
ALLY FINANCIAL INC.                                                                                                     ,20141231,1562859,154346600,5416000,13796000,116354000,118390000,0,0,62313000,9089000,50000,1843000,1622000,2014
AMERICAN EXPRESS COMPANY                                                                                                ,20141231,1275216,184977100,8243000,5794000,162085000,140455000,0,0,47644000,3733000,0,27728000,17541000,2014
BANCWEST CORPORATION                                                                                                    ,20141231,1025608,111924474,1295763,8252590,12027017,485680102,2798946,0,18211094,7175273,104505,726000,1548138,2014
BANK OF AMERICA CORPORATION                                                                                             ,20141231,1073757,2810245959,305364434,227579653,499710859,93184380421,139555000,445911470,52034159510,229594570,22265000,350009000,278666000,2014
"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",20141231,3587146,418631800,59446000,248552000,66878000,2.19E+11,24632807000,4904000,1186938000,25031000,90000,94164000,173677000,2014
BB&T CORPORATION                                                                                                        ,20141231,1074156,217773050,1688053,4558381,68023414,811414354,38953096,5591560,71581834,4558145,1939083,851000,1059000,2014
"BBVA COMPASS BANCSHARES, INC.                                                                                           ",20141231,1078529,107580046,3897012,2656660,14487728,245028012,2616617,206041103,25000098,802349,39401,1509000,1929000,2014
BMO FINANCIAL CORP.                                                                                                     ,20141231,1245415,155869278,16264166,881241,20465564,6179034499,135147145,8401452,27762685,5567112,78019,7177000,7177000,2014
CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,20141231,2277860,353601304,17493034,1682001,104286648,772586038,4396411,2414208,88638547,10913085,1545268,8878000,469498,2014
CITIGROUP INC.                                                                                                          ,20141231,1951350,2765877500,317240000,458603000,505808000,2.75E+11,12520569000,370772000,54952090000,168630000,43018000,832923000,756438000,2014
"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",20141231,1132449,157363598,4738555,5785512,8052460,1883787997,3912695,0,46638853,936702,860,1550000,947000,2014
COMERICA INCORPORATED                                                                                                   ,20141231,1199844,102554103,6057572,4756909,15463121,250361020,55913242,1556000,21561311,1333855,138553,2051000,1662000,2014
DEUTSCHE BANK TRUST CORPORATION                                                                                         ,20141231,1032473,52700800,24422800,26104000,158500,76992937000,0,0,9046000,900,83000,1074000,1000,2014
DISCOVER FINANCIAL SERVICES                                                                                             ,20141231,3846375,100186019,7507731,233917,79096438,321440963,0,0,11227315,432589,7496,129000,18000,2014
FIFTH THIRD BANCORP                                                                                                     ,20141231,1070345,184945588,3247588,3231856,38466464,1479898463,246920645,6068426,62852773,5398929,535396,4463000,593000,2014
"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",20141231,2380443,1484013000,326951000,113405000,328277000,11306295000,1013139000,346000000,53478619000,148746000,44666000,333240000,289812000,2014
HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,20141231,3232316,416909713,36445147,41279038,54211153,3704706937,39475866,51887060,4737666123,43561152,4231606,44431000,3000,2014
HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,20141231,1068191,80340613,2270140,1273678,16114479,431901654,79217167,1142485,29096082,3693131,1568234,1529000,0,2014
