"","Date","hour","Account","Channel","Units","month","day","year","Day of Week","weekday","Kwh","PeakHour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_SpeedMPH","WindDirDegrees","Conditions","Wind_Direction"
"1",2014-01-01,0,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,23,5,46,30.2,10,8.1,290,"Clear","WNW"
"2",2014-01-01,0,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.369999,0,23,5,46,30.2,10,8.1,290,"Clear","WNW"
"3",2014-01-01,0,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,132.369999,0,23,5,46,30.2,10,8.1,290,"Clear","WNW"
"4",2014-01-01,1,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,132.719997,0,21.9,3.9,46,30.23,10,11.5,290,"Partly Cloudy","WNW"
"5",2014-01-01,1,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.719997,0,21.9,3.9,46,30.23,10,11.5,290,"Partly Cloudy","WNW"
"6",2014-01-01,1,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21.9,3.9,46,30.23,10,11.5,290,"Partly Cloudy","WNW"
"7",2014-01-01,2,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21.9,3.9,46,30.25,10,12.7,240,"Clear","WSW"
"8",2014-01-01,2,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.029997,0,21.9,3.9,46,30.25,10,12.7,240,"Clear","WSW"
"9",2014-01-01,2,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,129.029997,0,21.9,3.9,46,30.25,10,12.7,240,"Clear","WSW"
"10",2014-01-01,3,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.759998,0,21.9,3,44,30.27,10,11.5,250,"Clear","WSW"
"11",2014-01-01,3,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21.9,3,44,30.27,10,11.5,250,"Clear","WSW"
"12",2014-01-01,3,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,125.759998,0,21.9,3,44,30.27,10,11.5,250,"Clear","WSW"
"13",2014-01-01,4,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21,3,46,30.29,10,9.2,260,"Clear","West"
"14",2014-01-01,4,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.389997,0,21,3,46,30.29,10,9.2,260,"Clear","West"
"15",2014-01-01,4,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,129.389997,0,21,3,46,30.29,10,9.2,260,"Clear","West"
"16",2014-01-01,5,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,132.509998,0,21,3,46,30.3,10,11.5,270,"Clear","West"
"17",2014-01-01,5,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21,3,46,30.3,10,11.5,270,"Clear","West"
"18",2014-01-01,5,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,132.509998,0,21,3,46,30.3,10,11.5,270,"Clear","West"
"19",2014-01-01,6,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21,3.9,48,30.32,10,10.4,250,"Scattered Clouds","WSW"
"20",2014-01-01,6,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,134.929996,0,21,3.9,48,30.32,10,10.4,250,"Scattered Clouds","WSW"
"21",2014-01-01,6,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,134.929996,0,21,3.9,48,30.32,10,10.4,250,"Scattered Clouds","WSW"
"22",2014-01-01,7,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,122.809998,1,19.9,5,52,30.35,10,10.4,230,"Scattered Clouds","SW"
"23",2014-01-01,7,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,122.809998,1,19.9,5,52,30.35,10,10.4,230,"Scattered Clouds","SW"
"24",2014-01-01,7,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,19.9,5,52,30.35,10,10.4,230,"Scattered Clouds","SW"
"25",2014-01-01,8,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,119.959996,1,23,6.1,48,30.37,10,10.4,260,"Scattered Clouds","West"
"26",2014-01-01,8,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,119.959996,1,23,6.1,48,30.37,10,10.4,260,"Scattered Clouds","West"
"27",2014-01-01,8,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,23,6.1,48,30.37,10,10.4,260,"Scattered Clouds","West"
"28",2014-01-01,9,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,123.159999,1,24.1,5,44,30.39,10,16.1,300,"Scattered Clouds","WNW"
"29",2014-01-01,9,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,123.159999,1,24.1,5,44,30.39,10,16.1,300,"Scattered Clouds","WNW"
"30",2014-01-01,9,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,24.1,5,44,30.39,10,16.1,300,"Scattered Clouds","WNW"
"31",2014-01-01,10,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,26.1,5,41,30.35,10,12.7,280,"Partly Cloudy","West"
"32",2014-01-01,10,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,129.109998,1,26.1,5,41,30.35,10,12.7,280,"Partly Cloudy","West"
"33",2014-01-01,10,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,129.109998,1,26.1,5,41,30.35,10,12.7,280,"Partly Cloudy","West"
"34",2014-01-01,11,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,125.829996,1,26.1,5,41,30.34,10,13.8,260,"Mostly Cloudy","West"
"35",2014-01-01,11,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.829996,1,26.1,5,41,30.34,10,13.8,260,"Mostly Cloudy","West"
"36",2014-01-01,11,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,26.1,5,41,30.34,10,13.8,260,"Mostly Cloudy","West"
"37",2014-01-01,12,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,120.909997,1,27,5,39,30.33,10,13.8,280,"Scattered Clouds","West"
"38",2014-01-01,12,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,120.909997,1,27,5,39,30.33,10,13.8,280,"Scattered Clouds","West"
"39",2014-01-01,12,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,27,5,39,30.33,10,13.8,280,"Scattered Clouds","West"
"40",2014-01-01,13,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,28,3.9,36,30.33,10,8.1,300,"Mostly Cloudy","WNW"
"41",2014-01-01,13,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,125.199997,1,28,3.9,36,30.33,10,8.1,300,"Mostly Cloudy","WNW"
"42",2014-01-01,13,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,125.199997,1,28,3.9,36,30.33,10,8.1,300,"Mostly Cloudy","WNW"
"43",2014-01-01,14,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,27,3.9,37,30.33,10,10.4,270,"Scattered Clouds","West"
"44",2014-01-01,14,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,128.589997,1,27,3.9,37,30.33,10,10.4,270,"Scattered Clouds","West"
"45",2014-01-01,14,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,128.589997,1,27,3.9,37,30.33,10,10.4,270,"Scattered Clouds","West"
"46",2014-01-01,15,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,143.169998,1,27,5,39,30.35,10,10.4,290,"Mostly Cloudy","WNW"
"47",2014-01-01,15,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,143.169998,1,27,5,39,30.35,10,10.4,290,"Mostly Cloudy","WNW"
"48",2014-01-01,15,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,27,5,39,30.35,10,10.4,290,"Mostly Cloudy","WNW"
"49",2014-01-01,16,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,139.999998,1,26.1,5,41,30.35,10,6.9,340,"Mostly Cloudy","NNW"
"50",2014-01-01,16,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,139.999998,1,26.1,5,41,30.35,10,6.9,340,"Mostly Cloudy","NNW"
"51",2014-01-01,16,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,26.1,5,41,30.35,10,6.9,340,"Mostly Cloudy","NNW"
"52",2014-01-01,17,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,138.639995,1,25,5,43,30.37,10,9.2,320,"Scattered Clouds","NW"
"53",2014-01-01,17,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,138.639995,1,25,5,43,30.37,10,9.2,320,"Scattered Clouds","NW"
"54",2014-01-01,17,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,25,5,43,30.37,10,9.2,320,"Scattered Clouds","NW"
"55",2014-01-01,18,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,143.199999,1,24.1,6.1,46,30.37,10,4.6,10,"Partly Cloudy","North"
"56",2014-01-01,18,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,24.1,6.1,46,30.37,10,4.6,10,"Partly Cloudy","North"
"57",2014-01-01,18,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,143.199999,1,24.1,6.1,46,30.37,10,4.6,10,"Partly Cloudy","North"
"58",2014-01-01,19,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,147.119998,1,24.1,5,44,30.38,10,6.9,360,"Partly Cloudy","North"
"59",2014-01-01,19,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,1,24.1,5,44,30.38,10,6.9,360,"Partly Cloudy","North"
"60",2014-01-01,19,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,147.119998,1,24.1,5,44,30.38,10,6.9,360,"Partly Cloudy","North"
"61",2014-01-01,20,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,23,5,46,30.38,10,4.6,350,"Scattered Clouds","North"
"62",2014-01-01,20,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,147.829998,0,23,5,46,30.38,10,4.6,350,"Scattered Clouds","North"
"63",2014-01-01,20,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,147.829998,0,23,5,46,30.38,10,4.6,350,"Scattered Clouds","North"
"64",2014-01-01,21,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,134.879996,0,21.9,7,53,30.39,10,3.5,20,"Mostly Cloudy","NNE"
"65",2014-01-01,21,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,134.879996,0,21.9,7,53,30.39,10,3.5,20,"Mostly Cloudy","NNE"
"66",2014-01-01,21,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,21.9,7,53,30.39,10,3.5,20,"Mostly Cloudy","NNE"
"67",2014-01-01,22,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,23,6.1,48,30.4,10,3.5,360,"Overcast","North"
"68",2014-01-01,22,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,128.909999,0,23,6.1,48,30.4,10,3.5,360,"Overcast","North"
"69",2014-01-01,22,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,128.909999,0,23,6.1,48,30.4,10,3.5,360,"Overcast","North"
"70",2014-01-01,23,26908650026,"507115423 3","kWh",1,1,2014,4,1,0,0,23,7,50,30.38,10,6.9,20,"Overcast","NNE"
"71",2014-01-01,23,26908650026,"507115423 1 kWh","kWh",1,1,2014,4,1,124.499995,0,23,7,50,30.38,10,6.9,20,"Overcast","NNE"
"72",2014-01-01,23,26908650026,"MILDRED SCHOOL 1","kWh",1,1,2014,4,1,124.499995,0,23,7,50,30.38,10,6.9,20,"Overcast","NNE"
"73",2014-01-02,0,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,21,10.9,65,30.36,4,6.9,20,"Light Snow","NNE"
"74",2014-01-02,0,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,121.129999,0,21,10.9,65,30.36,4,6.9,20,"Light Snow","NNE"
"75",2014-01-02,0,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,121.129999,0,21,10.9,65,30.36,4,6.9,20,"Light Snow","NNE"
"76",2014-01-02,1,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,20.1666666666667,13.7666666666667,76.3333333333333,30.36,2.03333333333333,8.1,20,"Light Snow","NNE"
"77",2014-01-02,1,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,125.779996,0,20.1666666666667,13.7666666666667,76.3333333333333,30.36,2.03333333333333,8.1,20,"Light Snow","NNE"
"78",2014-01-02,1,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,125.779996,0,20.1666666666667,13.7666666666667,76.3333333333333,30.36,2.03333333333333,8.1,20,"Light Snow","NNE"
"79",2014-01-02,2,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,128.329999,0,19.2,14.9,83.5,30.35,2,9.2,20,"Light Snow","NNE"
"80",2014-01-02,2,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,128.329999,0,19.2,14.9,83.5,30.35,2,9.2,20,"Light Snow","NNE"
"81",2014-01-02,2,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,19.2,14.9,83.5,30.35,2,9.2,20,"Light Snow","NNE"
"82",2014-01-02,3,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,130.989996,0,19.2,14,80.5,30.345,1.65,9.2,10,"Light Snow","North"
"83",2014-01-02,3,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,19.2,14,80.5,30.345,1.65,9.2,10,"Light Snow","North"
"84",2014-01-02,3,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,130.989996,0,19.2,14,80.5,30.345,1.65,9.2,10,"Light Snow","North"
"85",2014-01-02,4,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,19.2,14,80.5,30.32,2.15,10.95,10,"Light Snow","North"
"86",2014-01-02,4,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,222.729997,0,19.2,14,80.5,30.32,2.15,10.95,10,"Light Snow","North"
"87",2014-01-02,4,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,222.729997,0,19.2,14,80.5,30.32,2.15,10.95,10,"Light Snow","North"
"88",2014-01-02,5,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,19.2666666666667,14,80.3333333333333,30.3166666666667,2.26666666666667,12.7,13.3333333333333,"Light Snow","North"
"89",2014-01-02,5,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,223.929996,0,19.2666666666667,14,80.3333333333333,30.3166666666667,2.26666666666667,12.7,13.3333333333333,"Light Snow","North"
"90",2014-01-02,5,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,223.929996,0,19.2666666666667,14,80.3333333333333,30.3166666666667,2.26666666666667,12.7,13.3333333333333,"Light Snow","North"
"91",2014-01-02,6,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,229.409993,0,19.2666666666667,15.5666666666667,85.6666666666667,30.3,2.66666666666667,13.0333333333333,10,"Light Snow","North"
"92",2014-01-02,6,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,229.409993,0,19.2666666666667,15.5666666666667,85.6666666666667,30.3,2.66666666666667,13.0333333333333,10,"Light Snow","North"
"93",2014-01-02,6,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,0,19.2666666666667,15.5666666666667,85.6666666666667,30.3,2.66666666666667,13.0333333333333,10,"Light Snow","North"
"94",2014-01-02,7,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,19.2,15.45,85.5,30.29,1.65,13.8,10,"Light Snow","North"
"95",2014-01-02,7,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,239.929992,1,19.2,15.45,85.5,30.29,1.65,13.8,10,"Light Snow","North"
"96",2014-01-02,7,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,239.929992,1,19.2,15.45,85.5,30.29,1.65,13.8,10,"Light Snow","North"
"97",2014-01-02,8,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,247.729993,1,19.5666666666667,15.8666666666667,85.6666666666667,30.2733333333333,0.5,13.0666666666667,130,"Snow","North"
"98",2014-01-02,8,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,19.5666666666667,15.8666666666667,85.6666666666667,30.2733333333333,0.5,13.0666666666667,130,"Snow","North"
"99",2014-01-02,8,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,247.729993,1,19.5666666666667,15.8666666666667,85.6666666666667,30.2733333333333,0.5,13.0666666666667,130,"Snow","North"
"100",2014-01-02,9,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,248.839992,1,24.1,21,88,30.25,0.5,18.4,40,"Snow","NE"
"101",2014-01-02,9,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,24.1,21,88,30.25,0.5,18.4,40,"Snow","NE"
"102",2014-01-02,9,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,248.839992,1,24.1,21,88,30.25,0.5,18.4,40,"Snow","NE"
"103",2014-01-02,10,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,250.669996,1,25.8,21.1,82.5,30.225,0.5,23.6,50,"Snow","NE"
"104",2014-01-02,10,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,25.8,21.1,82.5,30.225,0.5,23.6,50,"Snow","NE"
"105",2014-01-02,10,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,250.669996,1,25.8,21.1,82.5,30.225,0.5,23.6,50,"Snow","NE"
"106",2014-01-02,11,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,24.5666666666667,19.5666666666667,81.3333333333333,30.1666666666667,0.5,26.4666666666667,50,"Snow","NE"
"107",2014-01-02,11,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,246.789998,1,24.5666666666667,19.5666666666667,81.3333333333333,30.1666666666667,0.5,26.4666666666667,50,"Snow","NE"
"108",2014-01-02,11,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,246.789998,1,24.5666666666667,19.5666666666667,81.3333333333333,30.1666666666667,0.5,26.4666666666667,50,"Snow","NE"
"109",2014-01-02,12,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,244.689993,1,24.1,19.9,84,30.12,0.5,21.9,40,"Light Snow","NE"
"110",2014-01-02,12,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,24.1,19.9,84,30.12,0.5,21.9,40,"Light Snow","NE"
"111",2014-01-02,12,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,244.689993,1,24.1,19.9,84,30.12,0.5,21.9,40,"Light Snow","NE"
"112",2014-01-02,13,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,245.039997,1,25.8333333333333,21.1333333333333,82.3333333333333,30.0833333333333,0.5,26.1,53.3333333333333,"Light Snow","NE"
"113",2014-01-02,13,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,245.039997,1,25.8333333333333,21.1333333333333,82.3333333333333,30.0833333333333,0.5,26.1,53.3333333333333,"Light Snow","NE"
"114",2014-01-02,13,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,25.8333333333333,21.1333333333333,82.3333333333333,30.0833333333333,0.5,26.1,53.3333333333333,"Light Snow","NE"
"115",2014-01-02,14,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,19.9,16,85,30.05,0.5,11.5,360,"Snow","North"
"116",2014-01-02,14,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,241.149993,1,19.9,16,85,30.05,0.5,11.5,360,"Snow","North"
"117",2014-01-02,14,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,241.149993,1,19.9,16,85,30.05,0.5,11.5,360,"Snow","North"
"118",2014-01-02,15,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,245.899995,1,13.95,9.375,81.75,30.0425,0.5,14.1,350,"Snow","North"
"119",2014-01-02,15,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,13.95,9.375,81.75,30.0425,0.5,14.1,350,"Snow","North"
"120",2014-01-02,15,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,245.899995,1,13.95,9.375,81.75,30.0425,0.5,14.1,350,"Snow","North"
"121",2014-01-02,16,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,12.1333333333333,8.43333333333333,84.6666666666667,30.0166666666667,1.06666666666667,14.6,346.666666666667,"Light Snow","North"
"122",2014-01-02,16,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,253.589992,1,12.1333333333333,8.43333333333333,84.6666666666667,30.0166666666667,1.06666666666667,14.6,346.666666666667,"Light Snow","North"
"123",2014-01-02,16,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,253.589992,1,12.1333333333333,8.43333333333333,84.6666666666667,30.0166666666667,1.06666666666667,14.6,346.666666666667,"Light Snow","North"
"124",2014-01-02,17,26908650026,"507115423 3","kWh",1,2,2014,5,1,0,1,10.3,6.625,84.75,30,0.2,17.575,350,"Heavy Snow","North"
"125",2014-01-02,17,26908650026,"507115423 1 kWh","kWh",1,2,2014,5,1,196.179994,1,10.3,6.625,84.75,30,0.2,17.575,350,"Heavy Snow","North"
"126",2014-01-02,17,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,196.179994,1,10.3,6.625,84.75,30,0.2,17.575,350,"Heavy Snow","North"
"127",2014-01-02,18,26908650026,"MILDRED SCHOOL 1","kWh",1,2,2014,5,1,147.259994,1,8.1,3,80,30,0.2,19.6,350,"Snow","North"
