"","Time","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Gust_SpeedMPH","PrecipitationIn","Events","Conditions","WindDirDegrees","date","hour"
"1",2014-01-01 00:54:00,23,5,"46",30.2,10,"WNW","8.1","-","N/A",NA,"Clear",290,2014-01-01,0
"2",2014-01-01 01:54:00,21.9,3.9,"46",30.23,10,"WNW","11.5","-","N/A",NA,"Partly Cloudy",290,2014-01-01,1
"3",2014-01-01 02:54:00,21.9,3.9,"46",30.25,10,"WSW","12.7","-","N/A",NA,"Clear",240,2014-01-01,2
"4",2014-01-01 03:54:00,21.9,3,"44",30.27,10,"WSW","11.5","19.6","N/A",NA,"Clear",250,2014-01-01,3
"5",2014-01-01 04:54:00,21,3,"46",30.29,10,"West","9.2","-","N/A",NA,"Clear",260,2014-01-01,4
"6",2014-01-01 05:54:00,21,3,"46",30.3,10,"West","11.5","20.7","N/A",NA,"Clear",270,2014-01-01,5
"7",2014-01-01 06:54:00,21,3.9,"48",30.32,10,"WSW","10.4","-","N/A",NA,"Scattered Clouds",250,2014-01-01,6
"8",2014-01-01 07:54:00,19.9,5,"52",30.35,10,"SW","10.4","-","N/A",NA,"Scattered Clouds",230,2014-01-01,7
"9",2014-01-01 08:54:00,23,6.1,"48",30.37,10,"West","10.4","21.9","N/A",NA,"Scattered Clouds",260,2014-01-01,8
"10",2014-01-01 09:54:00,24.1,5,"44",30.39,10,"WNW","16.1","20.7","N/A",NA,"Scattered Clouds",300,2014-01-01,9
"11",2014-01-01 10:54:00,26.1,5,"41",30.35,10,"West","12.7","21.9","N/A",NA,"Partly Cloudy",280,2014-01-01,10
"12",2014-01-01 11:54:00,26.1,5,"41",30.34,10,"West","13.8","23.0","N/A",NA,"Mostly Cloudy",260,2014-01-01,11
"13",2014-01-01 12:54:00,27,5,"39",30.33,10,"West","13.8","-","N/A",NA,"Scattered Clouds",280,2014-01-01,12
"14",2014-01-01 13:54:00,28,3.9,"36",30.33,10,"WNW","8.1","16.1","N/A",NA,"Mostly Cloudy",300,2014-01-01,13
"15",2014-01-01 14:54:00,27,3.9,"37",30.33,10,"West","10.4","-","N/A",NA,"Scattered Clouds",270,2014-01-01,14
"16",2014-01-01 15:54:00,27,5,"39",30.35,10,"WNW","10.4","-","N/A",NA,"Mostly Cloudy",290,2014-01-01,15
"17",2014-01-01 16:54:00,26.1,5,"41",30.35,10,"NNW","6.9","-","N/A",NA,"Mostly Cloudy",340,2014-01-01,16
"18",2014-01-01 17:54:00,25,5,"43",30.37,10,"NW","9.2","-","N/A",NA,"Scattered Clouds",320,2014-01-01,17
"19",2014-01-01 18:54:00,24.1,6.1,"46",30.37,10,"North","4.6","-","N/A",NA,"Partly Cloudy",10,2014-01-01,18
"20",2014-01-01 19:54:00,24.1,5,"44",30.38,10,"North","6.9","-","N/A",NA,"Partly Cloudy",360,2014-01-01,19
"21",2014-01-01 20:54:00,23,5,"46",30.38,10,"North","4.6","-","N/A",NA,"Scattered Clouds",350,2014-01-01,20
"22",2014-01-01 21:54:00,21.9,7,"53",30.39,10,"NNE","3.5","-","N/A",NA,"Mostly Cloudy",20,2014-01-01,21
"23",2014-01-01 22:54:00,23,6.1,"48",30.4,10,"North","3.5","-","N/A",NA,"Overcast",360,2014-01-01,22
"24",2014-01-01 23:54:00,23,7,"50",30.38,10,"NNE","6.9","-","N/A",NA,"Overcast",20,2014-01-01,23
"25",2014-01-02 00:54:00,21,10.9,"65",30.36,4,"NNE","6.9","-","0","Snow","Light Snow",20,2014-01-02,0
"26",2014-01-02 01:15:00,21.2,12.2,"68",30.36,2.5,"NNE","8.1","-","0","Snow","Light Snow",20,2014-01-02,1
"27",2014-01-02 01:41:00,19.4,14,"80",30.36,1.8,"NNE","8.1","-","0","Snow","Light Snow",20,2014-01-02,1
"28",2014-01-02 01:54:00,19.9,15.1,"81",30.36,1.8,"NNE","8.1","-","0","Snow","Light Snow",20,2014-01-02,1
"29",2014-01-02 02:41:00,19.4,15.8,"86",30.35,2,"NNE","9.2","-","0.01","Snow","Light Snow",20,2014-01-02,2
"30",2014-01-02 02:54:00,19,14,"81",30.35,2,"NNE","9.2","-","0.01","Snow","Light Snow",20,2014-01-02,2
"31",2014-01-02 03:08:00,19.4,14,"80",30.35,1.8,"North","9.2","-","0","Snow","Light Snow",10,2014-01-02,3
