"","date","hour","vac","type","Consumption","month","Day.of.Week","weekday","Base_hour_Flag","Holiday","City","consumption Kwh/sqm","base_hr_usage","Base_Hour_Class","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_SpeedMPH","WindDirDegrees","Conditions","Wind_Direction"
"1",2013-01-01,0,"Building 1","elect",25,1,3,1,1,1,"EFHK",0.227272727272727,25.25,"Low",35.6,33.8,93,29.42,2.8,13.85,160,"Light Rain","SSE"
"2",2013-01-01,1,"Building 1","elect",25,1,3,1,1,1,"EFHK",0.227272727272727,25.25,"Low",33.8,32.9,96.5,29.405,2.2,15.55,145,"Rain","SE"
"3",2013-01-01,10,"Building 1","elect",26,1,3,1,0,1,"EFHK",0.236363636363636,25.25,"High",37.4,36.5,96.5,29.3,4.65,16.7,190,"Light Rain","South"
"4",2013-01-01,11,"Building 1","elect",23,1,3,1,0,1,"EFHK",0.209090909090909,25.25,"Low",37.4,36.5,96.5,29.3,4.35,14.95,190,"Light Rain","South"
"5",2013-01-01,12,"Building 1","elect",26,1,3,1,0,1,"EFHK",0.236363636363636,25.25,"High",37.4,35.6,93,29.3,4.95,16.15,190,"Light Rain","South"
"6",2013-01-01,13,"Building 1","elect",26,1,3,1,0,1,"EFHK",0.236363636363636,25.25,"High",37.4,35.6,93,29.3,3.4,17.25,190,"Light Rain","South"
"7",2013-01-01,14,"Building 1","elect",25,1,3,1,0,1,"EFHK",0.227272727272727,25.25,"Low",37.2666666666667,36.3333333333333,96.6666666666667,29.33,2.7,15.9666666666667,196.666666666667,"Drizzle","South"
"8",2013-01-01,15,"Building 1","elect",25,1,3,1,0,1,"EFHK",0.227272727272727,25.25,"Low",37.4,36.5,96.5,29.33,1.8,12.7,190,"Drizzle","South"
"9",2013-01-01,16,"Building 1","elect",24,1,3,1,0,1,"EFHK",0.218181818181818,25.25,"Low",37.4,37.4,100,29.33,2.35,12.1,190,"Drizzle","South"
"10",2013-01-01,17,"Building 1","elect",28,1,3,1,0,1,"EFHK",0.254545454545455,25.25,"High",37.4,37.4,100,29.33,2.8,12.7,195,"Drizzle","South"
"11",2013-01-01,18,"Building 1","elect",23,1,3,1,0,1,"EFHK",0.209090909090909,25.25,"Low",37.4,37.4,100,29.345,1.75,12.1,200,"Mostly Cloudy","SSW"
"12",2013-01-01,19,"Building 1","elect",23,1,3,1,0,1,"EFHK",0.209090909090909,25.25,"Low",37.4,37.4,100,29.36,4.65,9.2,210,"Mostly Cloudy","SSW"
"13",2013-01-01,2,"Building 1","elect",26,1,3,1,1,1,"EFHK",0.236363636363636,25.25,"High",33.8666666666667,33.5333333333333,98.3333333333333,29.39,3.33333333333333,15.9666666666667,153.333333333333,"Light Rain","SSE"
"14",2013-01-01,20,"Building 1","elect",26,1,3,1,0,1,"EFHK",0.236363636363636,25.25,"High",37.2666666666667,36.0666666666667,95,29.3666666666667,5.4,9.86666666666667,206.666666666667,"Mostly Cloudy","SSW"
"15",2013-01-01,21,"Building 1","elect",24,1,3,1,0,1,"EFHK",0.218181818181818,25.25,"Low",37.4,35.6,93,29.39,4.95,9.25,205,"Mostly Cloudy","SSW"
"16",2013-01-01,22,"Building 1","elect",24,1,3,1,1,1,"EFHK",0.218181818181818,25.25,"Low",37.4,35.6,93,29.39,4.3,9.8,200,"Mostly Cloudy","South"
"17",2013-01-01,23,"Building 1","elect",25,1,3,1,1,1,"EFHK",0.227272727272727,25.25,"Low",37.4,35.6,93,29.42,3.4,10.4,195,"Mostly Cloudy","South"
"18",2013-01-01,3,"Building 1","elect",25,1,3,1,1,1,"EFHK",0.227272727272727,25.25,"Low",33.8,33.8,100,29.36,4.65,14.4,150,"Light Rain","SSE"
